"","codmpio","Municipio","Depto","subregion","CTEP","nbi","iga_total","desemp_fisc","GAI","conflict_index","acciones_belicas","secuestro","ataques","ase_desap","coca","mineria_ilegal","pob_censo2018_2023","pob_rural_censo2018_2023","part_senado_urbano","part_camara_urbano","part_senado_rural","part_camara_rural","secciones_rurales","RAP"
"11",25807,"Tibirita","Cundinamarca","Altiplano Cundiboyacense",0,38.9665260314941,52.0828558857606,62.2241706364417,0,-1.00849345220983,0,0,0,1,0,0,2882,2186,43.0836707152497,43.0161943319838,0,0,1,"RAP (E) Central"
"12",52019,"Albán","Nariño","Norte De Nariño",0,73.326545715332,64.6386632211295,59.2345243634375,0,0.869332276226766,21,7,20,3,0,0,7252,5159,66.0194174757282,66.1941747572816,73.7877723120169,74.0688685874912,2,"RAP Pacífico"
"13",50006,"Acacías","Meta","Piedemonte Llanero",0,27.776008605957,75.453253871882,70.1423463898428,3,0.334089208872203,95,86,0,574,0,0,68276,17265,60.3895873915353,60.4126084646715,64.8820326678766,65.4264972776769,5,"RAP (E) Central"
"14",25599,"Apulo","Cundinamarca","Suroccidente De Cundinamarca",0,43.4675712585449,63.0301938157166,64.2453453771466,0,-0.761163572478817,3,7,0,16,0,0,7127,3537,47.8987930783772,47.6225098153265,0,0,3,"RAP (E) Central"
"15",97666,"Taraira","Vaupés","Amazonia Sur-Oriental",0,93.1237945556641,55.192662881791,60.2835925026837,0,-1.21945574899087,0,0,0,0,0,0,1375,777,41.7374881964117,41.7374881964117,60.9336609336609,60.9336609336609,1,"RAP Amazonia"
"16",50223,"Cubarral","Meta","Piedemonte Llanero",0,41.291072845459,60.8067501991261,59.1013365657303,0,0.939534629701559,36,18,0,140,0,0,5189,1818,51.7365990764907,51.7767516562939,0,0,4,"RAP (E) Central"
"17",68013,"Aguada","Santander","Serrania De Los Yariguies",0,46.3655586242676,69.5204186594807,58.0370727514119,0,-0.695997055175288,8,0,0,16,0,0,1488,1160,55.0032701111838,54.807063440157,0,0,3,"RAP Gran Santander"
"18",5631,"Sabaneta","Antioquia","Valle De Aburra",0,8.31517028808594,81.6904384290755,76.4772549339993,0,-0.759175342315787,12,8,0,87,0,0,75812,7951,57.1226365898357,56.9244751702251,0,0,1,"RAP del Agua y la Montaña"
"19",15047,"Aquitania","Boyacá","Oriente De Boyaca",0,46.332706451416,57.2034386604193,65.4906084460062,0,0.0085759983030989,32,28,4,45,0,0,10901,6413,45.647288715193,45.676599902296,51.7341040462428,52.1882741535921,4,"RAP (E) Central"
"20",15051,"Arcabuco","Boyacá","Altiplano Cundiboyacense",0,33.6176681518555,62.0587792586921,63.3650935327485,0,-0.946322237428002,0,1,0,2,0,0,4285,2408,50.5691399662732,50.5691399662732,0,0,2,"RAP (E) Central"
